ID 	 Waktu 	 Ketinggian   Suhu  Humid  Tekanan  Arah-Angin  Kec-Angin  Lintang 	 Bujur     	 CO2
[==========================================================================================================]
ID 	 Waktu 	 Ketinggian   Suhu  Humid  Tekanan  Arah-Angin  Kec-Angin  Lintang 	 Bujur     	 CO2
[==========================================================================================================]
KASUARI	18:10:03	54	46	30	103	322	16	-6.914743900	107.609809875	3549
KASUARI	18:10:03	103	5	35	98	142	19	-6.914743900	107.609809875	2968
KASUARI	18:10:05	155	-9	25	235	308	5	-6.914743900	107.609809875	2776
KASUARI	18:10:06	200	28	99	9	49	3	-6.914743900	107.609809875	483
KASUARI	18:10:07	252	-1	15	263	222	7	-6.914743900	107.609809875	1643
KASUARI	18:10:08	300	4	49	213	320	5	-6.914743900	107.609809875	2012
KASUARI	18:10:09	351	28	1	111	176	11	-6.914743900	107.609809875	3671
KASUARI	18:10:10	402	37	89	218	94	15	-6.914743900	107.609809875	2918
KASUARI	18:10:11	453	-5	76	261	25	29	-6.914743900	107.609809875	1631
KASUARI	18:10:12	500	3	27	32	4	1	-6.914743900	107.609809875	2198
KASUARI	18:10:13	550	0	52	48	214	4	-6.914743900	107.609809875	4918
KASUARI	18:10:15	602	5	85	34	195	1	-6.914743900	107.609809875	1151
KASUARI	18:10:16	652	46	61	187	113	29	-6.914743900	107.609809875	788
KASUARI	18:10:17	704	-6	75	70	136	9	-6.914743900	107.609809875	2080
KASUARI	18:10:18	755	23	64	278	156	21	-6.914743900	107.609809875	3341
KASUARI	18:10:19	801	42	63	283	312	1	-6.914743900	107.609809875	4009
KASUARI	18:10:20	850	39	88	248	98	27	-6.914743900	107.609809875	2723
KASUARI	18:10:21	907	1	35	68	228	20	-6.914743900	107.609809875	234
KASUARI	18:10:23	955	4	21	86	256	20	-6.914743900	107.609809875	4662
KASUARI	18:10:24	1001	29	66	199	240	25	-6.914743900	107.609809875	2577
KASUARI	18:10:25	1053	34	69	42	263	25	-6.914743900	107.609809875	4329
KASUARI	18:10:27	1104	44	20	297	47	21	-6.914743900	107.609809875	4462
KASUARI	18:10:28	1152	20	43	167	208	14	-6.914743900	107.609809875	2317
KASUARI	18:10:28	1200	-2	6	278	26	17	-6.914743900	107.609809875	4114
KASUARI	18:10:30	1252	7	30	290	286	6	-6.914743900	107.609809875	2012
KASUARI	18:10:31	1305	7	95	95	104	0	-6.914743900	107.609809875	118
KASUARI	18:10:32	1358	27	97	109	123	12	-6.914743900	107.609809875	4085
KASUARI	18:10:33	1404	46	29	1	216	0	-6.914743900	107.609809875	581
KASUARI	18:10:34	1452	27	96	155	344	6	-6.914743900	107.609809875	408
